False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.01020408163265306,0.9999681894334134
0.0,0.2857142857142857,0.9997993015096339
0.0,0.30612244897959184,0.999797054123263
0.0,0.3877551020408163,0.9997406044152384
0.0,0.40816326530612246,0.9997102825657211
0.0,0.5,0.9994541569332136
0.0,0.5204081632653061,0.999453950157614
0.0,0.6326530612244898,0.9988168047514271
3.517163759144626e-05,0.6326530612244898,0.99859506889679
3.517163759144626e-05,0.7346938775510204,0.9918117392825574
5.2757456387169386e-05,0.7346938775510204,0.9905703721623861
5.2757456387169386e-05,0.8163265306122449,0.9341129021997583
0.00029895891952729317,0.8163265306122449,0.6259978561159883
0.00029895891952729317,0.8367346938775511,0.6099508018005058
0.0003165447383230163,0.8367346938775511,0.5834050906337377
0.0003165447383230163,0.8469387755102041,0.5341871382757196
0.00043964546989307823,0.8469387755102041,0.492216189475474
0.00043964546989307823,0.8571428571428571,0.4889800943419022
0.0005803320202588633,0.8571428571428571,0.39614610464354744
0.0005803320202588633,0.8673469387755102,0.38887773427752625
0.0006330894766460326,0.8673469387755102,0.361277450656053
0.0006330894766460326,0.8775510204081632,0.32759746511495175
0.0019344400675295442,0.8775510204081632,0.05562975486068341
0.0019344400675295442,0.8877551020408163,0.054817809716645675
0.0032357906584130555,0.8877551020408163,0.02594877499770721
0.0032357906584130555,0.8979591836734694,0.025931177015422004
0.013400393922341025,0.8979591836734694,0.003909775764457931
0.013453151378728193,0.8979591836734694,0.003907731760156554
0.014684158694428812,0.8979591836734694,0.0035300062526125637
0.01471933033202026,0.8979591836734694,0.0035295837235405827
0.021736072031513787,0.8979591836734694,0.001988689822529341
0.021771243669105232,0.8979591836734694,0.0019880438628368524
0.03552335396736072,0.8979591836734694,0.001023539065552616
0.03561128306133934,0.8979591836734694,0.0010224498925671425
0.03722917839054586,0.8979591836734694,0.0009467515913575311
0.03722917839054586,0.9081632653061225,0.0009457463946004526
0.038126055149127744,0.9081632653061225,0.000913647727042905
0.038126055149127744,0.9183673469387755,0.0009129551611961394
0.041115644344400674,0.9183673469387755,0.0008223429475424535
0.041185987619583565,0.9183673469387755,0.0008221000309711959
0.04134425998874507,0.9183673469387755,0.000818515089861871
0.041379431626336526,0.9183673469387755,0.0008182034154277602
0.045090039392234105,0.9183673469387755,0.0007204229837535933
0.045090039392234105,0.9285714285714286,0.000720252760529465
0.046444147439504785,0.9285714285714286,0.0006838363127702468
0.04647931907709623,0.9285714285714286,0.0006838211292793684
0.04658483398987057,0.9285714285714286,0.0006835169194670346
0.048290658413055715,0.9285714285714286,0.0006481933470896292
0.048290658413055715,0.9387755102040817,0.0006481166097515684
0.05316193021947102,0.9387755102040817,0.0005714047665629347
0.053214687675858185,0.9387755102040817,0.0005713095087229677
0.06965742824985931,0.9387755102040817,0.0003907535971283703
0.06971018570624649,0.9387755102040817,0.00039066263573393116
0.07466938660664041,0.9387755102040817,0.0003512620581080133
0.07472214406302757,0.9387755102040817,0.00035069263422539166
0.07489800225098481,0.9387755102040817,0.0003487818880250672
0.07493317388857625,0.9387755102040817,0.0003486643077646833
0.0773248452447946,0.9387755102040817,0.0003330670905016849
0.07736001688238604,0.9387755102040817,0.00033291044414785473
0.0882808103545301,0.9387755102040817,0.000275718079761638
0.08831598199212155,0.9387755102040817,0.0002755895108182102
0.08861494091164884,0.9387755102040817,0.00027404401804978224
0.0886501125492403,0.9387755102040817,0.00027403003783163185
0.0910945413618458,0.9387755102040817,0.00026460182394366985
0.09112971299943726,0.9387755102040817,0.00026459595619196866
0.09244864940911648,0.9387755102040817,0.00025925937241856606
0.09248382104670794,0.9387755102040817,0.0002592309423954813
0.09666924592009003,0.9387755102040817,0.00024431525936360405
0.09672200337647721,0.9387755102040817,0.0002442669310051039
0.09964124929656724,0.9387755102040817,0.0002345575888431578
0.0996764209341587,0.9387755102040817,0.00023449515662418943
0.10205050647158131,0.9387755102040817,0.00022636951201702643
0.10208567810917277,0.9387755102040817,0.00022631707720556526
0.1104741136747327,0.9387755102040817,0.00019936845146578493
0.11050928531232414,0.9387755102040817,0.0001993532645379322
0.11149409116488464,0.9387755102040817,0.00019640187100853113
0.11152926280247609,0.9387755102040817,0.00019638733647449778
0.1132175014068655,0.9387755102040817,0.0001918776030456161
0.11325267304445695,0.9387755102040817,0.0001918729414472177
0.11689293753517163,0.9387755102040817,0.00018334621455520742
0.11694569499155881,0.9387755102040817,0.00018330922483573856
0.11965391108610017,0.9387755102040817,0.00017739537025450347
0.11974184018007879,0.9387755102040817,0.00017739016495830413
0.12385692177827799,0.9387755102040817,0.00016802063470750412
0.12389209341586944,0.9387755102040817,0.0001679660200022295
0.12656513787281937,0.9387755102040817,0.00016216675855024797
0.1266003095104108,0.9387755102040817,0.0001621178777789041
0.1306274620146314,0.9387755102040817,0.00015510087205274122
0.13066263365222286,0.9387755102040817,0.00015503904613963575
0.13567459200900395,0.9387755102040817,0.00014631438630865074
0.13570976364659537,0.9387755102040817,0.00014627971888968972
0.13743317388857626,0.9387755102040817,0.00014334117095864623
0.13746834552616768,0.9387755102040817,0.00014329080336366616
0.14787915025323578,0.9387755102040817,0.0001274183334533682
0.14787915025323578,0.9489795918367347,0.00012740858974391483
0.1516073438379291,0.9489795918367347,0.00012253411953640843
0.15164251547552055,0.9489795918367347,0.0001225140304809351
0.15489589195272932,0.9489795918367347,0.00011847591717178606
0.15493106359032077,0.9489795918367347,0.00011846685175757173
0.15507175014068655,0.9489795918367347,0.000118272259923715
0.155106921778278,0.9489795918367347,0.00011827073452175052
0.1560213843556556,0.9489795918367347,0.00011718215682489207
0.15607414181204277,0.9489795918367347,0.00011716483089978301
0.1581492684299381,0.9489795918367347,0.0001148695288560329
0.15818444006752955,0.9489795918367347,0.00011485387973869497
0.16150815981992123,0.9489795918367347,0.00011067279841462478
0.16154333145751265,0.9489795918367347,0.00011067211009803723
0.16198297692740574,0.9489795918367347,0.00011023133414755698
0.1620181485649972,0.9489795918367347,0.00011020812066594039
0.16296778277996624,0.9489795918367347,0.00010927399187414178
0.16303812605514914,0.9489795918367347,0.00010919455553113096
0.16344259988745077,0.9489795918367347,0.00010887301225381813
0.1634777715250422,0.9489795918367347,0.00010883437760841269
0.16358328643781656,0.9489795918367347,0.00010872953261262526
0.16358328643781656,0.9591836734693877,0.00010871744361175884
0.16365362971299943,0.9591836734693877,0.00010859600095600652
0.16368880135059088,0.9591836734693877,0.00010853684531951628
0.1637767304445695,0.9591836734693877,0.00010849930674753981
0.16381190208216095,0.9591836734693877,0.00010848906058256522
0.1640053460889139,0.9591836734693877,0.00010836938748586409
0.16404051772650535,0.9591836734693877,0.00010836597989486327
0.16790939786156445,0.9591836734693877,0.00010470515011311433
0.16794456949915587,0.9591836734693877,0.0001046727037143004
0.17184862127180642,0.9591836734693877,0.00010066630487809883
0.17188379290939787,0.9591836734693877,0.00010064457975213266
0.17246412492965674,0.9591836734693877,0.00010021939408146951
0.17249929656724816,0.9591836734693877,0.00010021710464010869
0.17332583005064717,0.9591836734693877,9.962555687973802e-05
0.1733610016882386,0.9591836734693877,9.959189225572719e-05
0.1734313449634215,0.9591836734693877,9.955979291645755e-05
0.17346651660101295,0.9591836734693877,9.954973084395822e-05
0.17765194147439506,0.9591836734693877,9.568577772737548e-05
0.17768711311198648,0.9591836734693877,9.567902895393208e-05
0.17923466516601014,0.9591836734693877,9.425193917628472e-05
0.17926983680360156,0.9591836734693877,9.424331093463089e-05
0.17969189645469894,0.9591836734693877,9.389016382467663e-05
0.1797270680922904,0.9591836734693877,9.388384292625749e-05
0.18349043331457512,0.9591836734693877,9.046930253171683e-05
0.18349043331457512,0.9693877551020408,9.046360109802287e-05
0.18639209341586943,0.9693877551020408,8.81144620273106e-05
0.18642726505346088,0.9693877551020408,8.810584076596021e-05
0.18707794034890265,0.9693877551020408,8.750632915137576e-05
0.18713069780528982,0.9693877551020408,8.750556374532142e-05
0.1901554586381542,0.9693877551020408,8.506161800760595e-05
0.19019063027574565,0.9693877551020408,8.50541107220453e-05
0.19347917839054588,0.9693877551020408,8.297955723173347e-05
0.19347917839054588,0.9795918367346939,8.294128936874003e-05
0.1979283905458638,0.9795918367346939,7.992147867560737e-05
0.19796356218345526,0.9795918367346939,7.991701658346819e-05
0.2060530388294879,0.9795918367346939,7.483724600985573e-05
0.20608821046707934,0.9795918367346939,7.480436796829198e-05
0.20709060213843555,0.9795918367346939,7.412547839771523e-05
0.207125773776027,0.9795918367346939,7.411563766667854e-05
0.20807540799099605,0.9795918367346939,7.363438983888484e-05
0.2081105796285875,0.9795918367346939,7.362132982193312e-05
0.2093240011254924,0.9795918367346939,7.296871188313912e-05
0.20935917276308386,0.9795918367346939,7.296330448018905e-05
0.21271806415306696,0.9795918367346939,7.107523459876559e-05
0.2127532357906584,0.9795918367346939,7.107347731567531e-05
0.21917205965109735,0.9795918367346939,6.773395556310223e-05
0.2192072312886888,0.9795918367346939,6.770901396329725e-05
0.2215637310073157,0.9795918367346939,6.629108403071121e-05
0.22159890264490714,0.9795918367346939,6.628374905255128e-05
0.2228650815981992,0.9795918367346939,6.557312837236693e-05
0.22291783905458637,0.9795918367346939,6.554463742980747e-05
0.22645258863252674,0.9795918367346939,6.373240677684745e-05
0.2264877602701182,0.9795918367346939,6.370308117292923e-05
0.22996975239167136,0.9795918367346939,6.200394232523304e-05
0.23000492402926281,0.9795918367346939,6.200052954242994e-05
0.23603685987619583,0.9795918367346939,5.920841476314151e-05
0.23607203151378728,0.9795918367346939,5.9203577759038476e-05
0.24045090039392233,0.9795918367346939,5.724383506716831e-05
0.24052124366910524,0.9795918367346939,5.7240098054751406e-05
0.24187535171637592,0.9795918367346939,5.678074115716319e-05
0.24191052335396737,0.9795918367346939,5.6770142723570694e-05
0.24474184018007877,0.9795918367346939,5.555886536457237e-05
0.24477701181767023,0.9795918367346939,5.554629132390443e-05
0.24913829487900957,0.9795918367346939,5.363547484283507e-05
0.24917346651660102,0.9795918367346939,5.363308190594621e-05
0.26966094541361846,0.9795918367346939,4.670971774489702e-05
0.2696961170512099,0.9795918367346939,4.670827693455004e-05
0.27194710185706245,0.9795918367346939,4.610946926922421e-05
0.2719822734946539,0.9795918367346939,4.610935827949376e-05
0.27208778840742825,0.9795918367346939,4.607352397424407e-05
0.2721229600450197,0.9795918367346939,4.607178047827074e-05
0.2741629150253236,0.9795918367346939,4.550839751668092e-05
0.274198086662915,0.9795918367346939,4.549771197062446e-05
0.2883370849746764,0.9795918367346939,4.184719694632613e-05
0.28837225661226784,0.9795918367346939,4.184586575727066e-05
0.288618458075408,0.9795918367346939,4.1802376621703934e-05
0.28874155880697805,0.9795918367346939,4.180169458060517e-05
0.2906232414181204,0.9795918367346939,4.1334924879113956e-05
0.2906584130557119,0.9795918367346939,4.133259028115264e-05
0.3026167698368036,0.9795918367346939,3.865827420220653e-05
0.30265194147439506,0.9795918367346939,3.865101335288377e-05
0.30500844119302195,0.9795918367346939,3.811677581321125e-05
0.3050436128306134,0.9795918367346939,3.8110098740984166e-05
0.3055887732132808,0.9795918367346939,3.796231295546973e-05
0.30562394485087224,0.9795918367346939,3.795676908643084e-05
0.30697805289814295,0.9795918367346939,3.7744040602233845e-05
0.3070132245357344,0.9795918367346939,3.774020653311043e-05
0.30868387732132807,0.9795918367346939,3.734469525900824e-05
0.30871904895891955,0.9795918367346939,3.734274602650937e-05
0.31038970174451325,0.9795918367346939,3.698649907449127e-05
0.31042487338210467,0.9795918367346939,3.697751789941175e-05
0.31116347777152503,0.9795918367346939,3.683761505054542e-05
0.3111986494091165,0.9795918367346939,3.683318706309737e-05
0.3136782498593135,0.9795918367346939,3.6292000454997074e-05
0.3137134214969049,0.9795918367346939,3.62900863725481e-05
0.31468064153066966,0.9795918367346939,3.61137353677554e-05
0.31471581316826114,0.9795918367346939,3.611068572207308e-05
0.3219435846933033,0.9795918367346939,3.483346304111533e-05
0.3219963421496905,0.9795918367346939,3.482395521375224e-05
0.32435284186831737,0.9795918367346939,3.4339484597510405e-05
0.32438801350590885,0.9795918367346939,3.433622427664915e-05
0.3261993528418683,0.9795918367346939,3.3973460196127016e-05
0.3262345244794598,0.9795918367346939,3.3966999007403535e-05
