Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
Gradient Boosting,0.9993504441557529,0.7904761904761904,0.8469387755102041,0.8177339901477833,0.9819756124171672,83,22,56842,15
Random Forest,0.9988939995084443,0.631578947368421,0.8571428571428571,0.7272727272727273,0.9830108429134174,84,49,56815,14
Logistic Regression,0.9741757663003405,0.05795235028976175,0.9183673469387755,0.10902483343428225,0.9699717657884763,90,1463,55401,8
