Precision,Recall,Threshold
0.0017204452090867595,1.0,5.222563285601154e-07
0.0017204754130018785,1.0,5.270095438087278e-07
0.001720505617977528,1.0,5.681676742079788e-07
0.0017205358240137644,1.0,5.719379583300107e-07
0.001720566031110643,1.0,5.78076764151612e-07
0.0017205962392682198,1.0,5.98989130120744e-07
0.0017206264484865511,1.0,6.045637651708723e-07
0.0017206566587656923,1.0,6.060837316276375e-07
0.0017206868701056994,1.0,6.26519906347488e-07
0.0017207170825066283,1.0,6.284640983826819e-07
0.001720747295968535,1.0,6.352370890719178e-07
0.0017207775104914752,1.0,6.368833505355904e-07
0.0017208077260755048,1.0,6.433110139173894e-07
0.00172083794272068,1.0,6.468891018835055e-07
0.0017208681604270564,1.0,6.469537923108612e-07
0.0017209285990236365,1.0,6.514042712629603e-07
0.0017209588199139521,1.0,6.671559821613505e-07
0.0017209890418656926,1.0,6.67200048376135e-07
0.001721019264878914,1.0,6.672463455862511e-07
0.0017210494889536721,1.0,6.673226590825954e-07
0.001721079714090023,1.0,6.675815064815863e-07
0.0017211099402880225,1.0,6.68230279911982e-07
0.0017211401675477265,1.0,6.77646362533127e-07
0.0017211703958691911,1.0,6.814899933767027e-07
0.001721200625252472,1.0,6.839107742344992e-07
0.0017212308556976254,1.0,6.862375573503536e-07
0.0017212610872047072,1.0,6.872876639204988e-07
0.0017212913197737732,1.0,6.893076333831446e-07
0.0017213215534048795,1.0,6.911989960038699e-07
0.0017213517880980819,1.0,6.914118224361294e-07
0.0017213820238534366,1.0,6.970599081316989e-07
0.0017214122606709994,1.0,6.989244771131467e-07
0.0017214424985508264,1.0,7.056731807770046e-07
0.0017214727374929735,1.0,7.10576294949887e-07
0.0017215029774974968,1.0,7.126489075963387e-07
0.001721533218564452,1.0,7.128281667307111e-07
0.001721654193457714,1.0,7.155926209193049e-07
0.0017216844398376698,1.0,7.167929079706633e-07
0.0017217146872803935,1.0,7.174665241176284e-07
0.0017217449357859415,1.0,7.232920487634021e-07
0.0017217751853543695,1.0,7.272691841656841e-07
0.0017218054359857337,1.0,7.338485621884892e-07
0.0017218356876800899,1.0,7.434772754212871e-07
0.0017218659404374945,1.0,7.47503859828726e-07
0.0017218961942580032,1.0,7.491980700395831e-07
0.0017219264491416723,1.0,7.544752072990906e-07
0.0017219567050885578,1.0,7.552781948986324e-07
0.0017219869620987156,1.0,7.571118631602322e-07
0.0017220172201722018,1.0,7.576032963833461e-07
0.0017220474793090725,1.0,7.657721764240915e-07
0.0017220777395093837,1.0,7.667717079393641e-07
0.0017221080007731914,1.0,7.768001209989841e-07
0.0017221382631005518,1.0,7.794581461794887e-07
0.001722168526491521,1.0,7.802226274662671e-07
0.001722198790946155,1.0,7.818510906520914e-07
0.0017223198594024604,1.0,7.835245654756438e-07
0.0017223501291762596,1.0,7.846810345497813e-07
0.0017223804000140602,1.0,7.858290615646124e-07
0.0017224106719159183,1.0,7.86046773319292e-07
0.0017224409448818897,1.0,7.86199736219335e-07
0.001722471218912031,1.0,7.907271942044782e-07
0.0017225014940063978,1.0,7.907369236501102e-07
0.0017225317701650468,1.0,7.933277808929168e-07
0.0017225923256754144,1.0,7.946859881198413e-07
0.0017226226050272456,1.0,7.976160583822003e-07
0.0017226528854435831,1.0,8.050544075796779e-07
0.0017226831669244832,1.0,8.053904391557995e-07
